01-06-2020 17:47:38.834 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [br.com.erudio.StartApplicationTests], using SpringBootContextLoader
01-06-2020 17:47:38.855 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [br.com.erudio.StartApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
01-06-2020 17:47:38.856 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [br.com.erudio.StartApplicationTests]: StartApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
01-06-2020 17:47:39.130 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration br.com.erudio.StartApplication for test class br.com.erudio.StartApplicationTests
01-06-2020 17:47:39.244 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
01-06-2020 17:47:39.264 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@57abad67, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@550a1967, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2a640157, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@52851b44, org.springframework.test.context.support.DirtiesContextTestExecutionListener@584f54e6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d8bafa9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@576f63f6, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dca0d64, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@f80945f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@ff684e1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23aa363a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ef6ae06, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@55dfebeb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6e35bc3d]
01-06-2020 17:47:39.816 [main] INFO  br.com.erudio.StartApplicationTests.logStarting - Starting StartApplicationTests on matos with PID 14254 (started by esmatos in /home/esmatos/CursoSpring/springAWS/RestWithSpringBootUdemy/03 ProjetoCrud)
01-06-2020 17:47:39.818 [main] INFO  br.com.erudio.StartApplicationTests.logStartupProfileInfo - No active profile set, falling back to default profiles: default
01-06-2020 17:47:40.908 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
01-06-2020 17:47:41.032 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 76ms. Found 1 JPA repository interfaces.
01-06-2020 17:47:41.533 [main] INFO  o.f.c.i.license.VersionPrinter.info - Flyway Community Edition 6.4.1 by Redgate
01-06-2020 17:47:41.926 [main] INFO  o.f.c.i.database.DatabaseFactory.info - Database: jdbc:mysql://192.168.199.131:3306/ (MySQL 8.0)
01-06-2020 17:47:41.971 [main] INFO  o.f.core.internal.command.DbValidate.info - Successfully validated 2 migrations (execution time 00:00.020s)
01-06-2020 17:47:42.020 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory.info - Creating Schema History table `rest_with_spring_boot_udemy`.`flyway_schema_history` ...
01-06-2020 17:47:42.126 [main] INFO  o.f.core.internal.command.DbMigrate.info - Current version of schema `rest_with_spring_boot_udemy`: << Empty Schema >>
